Id,SalePrice
2,181479.1217
4,181479.1217
6,181479.1217
7,181479.1217
17,181479.1217
18,181479.1217
22,181479.1217
27,181479.1217
31,181479.1217
36,181479.1217
39,181479.1217
40,181479.1217
42,181479.1217
46,181479.1217
53,181479.1217
58,181479.1217
61,181479.1217
72,181479.1217
79,181479.1217
80,181479.1217
82,181479.1217
83,181479.1217
85,181479.1217
88,181479.1217
92,181479.1217
93,181479.1217
95,181479.1217
102,181479.1217
103,181479.1217
106,181479.1217
107,181479.1217
110,181479.1217
114,181479.1217
116,181479.1217
117,181479.1217
118,181479.1217
125,181479.1217
126,181479.1217
127,181479.1217
128,181479.1217
134,181479.1217
135,181479.1217
137,181479.1217
143,181479.1217
147,181479.1217
148,181479.1217
150,181479.1217
156,181479.1217
157,181479.1217
159,181479.1217
161,181479.1217
167,181479.1217
170,181479.1217
171,181479.1217
175,181479.1217
179,181479.1217
181,181479.1217
186,181479.1217
193,181479.1217
194,181479.1217
206,181479.1217
208,181479.1217
210,181479.1217
211,181479.1217
212,181479.1217
214,181479.1217
215,181479.1217
217,181479.1217
222,181479.1217
227,181479.1217
228,181479.1217
233,181479.1217
235,181479.1217
238,181479.1217
241,181479.1217
252,181479.1217
253,181479.1217
256,181479.1217
257,181479.1217
258,181479.1217
259,181479.1217
261,181479.1217
263,181479.1217
266,181479.1217
267,181479.1217
270,181479.1217
271,181479.1217
276,181479.1217
285,181479.1217
288,181479.1217
289,181479.1217
290,181479.1217
291,181479.1217
292,181479.1217
293,181479.1217
294,181479.1217
295,181479.1217
304,181479.1217
322,181479.1217
326,181479.1217
327,181479.1217
328,181479.1217
331,181479.1217
332,181479.1217
333,181479.1217
335,181479.1217
337,181479.1217
342,181479.1217
343,181479.1217
347,181479.1217
350,181479.1217
352,181479.1217
358,181479.1217
359,181479.1217
360,181479.1217
368,181479.1217
369,181479.1217
373,181479.1217
377,181479.1217
383,181479.1217
386,181479.1217
387,181479.1217
390,181479.1217
391,181479.1217
395,181479.1217
397,181479.1217
398,181479.1217
401,181479.1217
404,181479.1217
408,181479.1217
409,181479.1217
410,181479.1217
418,181479.1217
422,181479.1217
427,181479.1217
431,181479.1217
433,181479.1217
437,181479.1217
438,181479.1217
442,181479.1217
447,181479.1217
459,181479.1217
460,181479.1217
464,181479.1217
465,181479.1217
467,181479.1217
468,181479.1217
474,181479.1217
480,181479.1217
481,181479.1217
483,181479.1217
488,181479.1217
492,181479.1217
494,181479.1217
499,181479.1217
500,181479.1217
501,181479.1217
503,181479.1217
506,181479.1217
508,181479.1217
511,181479.1217
515,181479.1217
519,181479.1217
521,181479.1217
530,181479.1217
532,181479.1217
534,181479.1217
540,181479.1217
541,181479.1217
551,181479.1217
552,181479.1217
554,181479.1217
555,181479.1217
556,181479.1217
557,181479.1217
565,181479.1217
566,181479.1217
567,181479.1217
569,181479.1217
570,181479.1217
574,181479.1217
575,181479.1217
576,181479.1217
577,181479.1217
578,181479.1217
583,181479.1217
584,181479.1217
585,181479.1217
587,181479.1217
593,181479.1217
597,181479.1217
598,181479.1217
599,181479.1217
600,181479.1217
605,181479.1217
607,181479.1217
608,181479.1217
611,181479.1217
616,181479.1217
625,181479.1217
629,181479.1217
630,181479.1217
631,181479.1217
640,181479.1217
642,181479.1217
643,181479.1217
646,181479.1217
647,181479.1217
655,181479.1217
659,181479.1217
663,181479.1217
665,181479.1217
667,181479.1217
673,181479.1217
676,181479.1217
680,181479.1217
682,181479.1217
687,181479.1217
688,181479.1217
692,181479.1217
693,181479.1217
695,181479.1217
697,181479.1217
700,181479.1217
702,181479.1217
703,181479.1217
704,181479.1217
712,181479.1217
713,181479.1217
717,181479.1217
720,181479.1217
721,181479.1217
726,181479.1217
733,181479.1217
736,181479.1217
738,181479.1217
741,181479.1217
743,181479.1217
745,181479.1217
750,181479.1217
756,181479.1217
757,181479.1217
758,181479.1217
760,181479.1217
765,181479.1217
775,181479.1217
776,181479.1217
780,181479.1217
783,181479.1217
790,181479.1217
795,181479.1217
796,181479.1217
797,181479.1217
798,181479.1217
804,181479.1217
805,181479.1217
806,181479.1217
808,181479.1217
814,181479.1217
818,181479.1217
821,181479.1217
822,181479.1217
825,181479.1217
827,181479.1217
830,181479.1217
834,181479.1217
835,181479.1217
842,181479.1217
845,181479.1217
852,181479.1217
857,181479.1217
858,181479.1217
859,181479.1217
860,181479.1217
861,181479.1217
864,181479.1217
868,181479.1217
869,181479.1217
